 ,Area,X,Y,BX,BY,Width,Height,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,23744384,2787.603,6045.893,0,0,6711,17831,0.124,19052.089,0,0,110.625,6711.000,2.259,0.443,0.198
2,9136,764.284,1102.369,699,987,88,260,0.227,261.612,758,1247,83.636,88.000,4.028,0.248,0.581
3,17094,958.712,1118.790,876,988,165,263,0.399,264.186,946,1251,84.570,165.000,1.450,0.690,0.472
4,17075,1160.384,1118.771,1077,988,166,263,0.399,264.093,1148,1251,84.786,166.000,1.450,0.689,0.471
5,17084,1361.940,1118.783,1279,988,166,263,0.398,264.093,1349,1251,84.786,166.000,1.450,0.690,0.471
6,19700,1837.956,1142.452,1711,1061,258,186,0.106,315.159,1711,1065,144.948,186.000,1.582,0.632,0.418
7,15327,1562.789,1184.755,1495,1065,156,252,0.141,293.777,1495,1317,59.070,156.000,1.298,0.770,0.445
8,5,1351.700,1522.100,1350,1521,4,3,0.572,5.000,1350,1524,36.870,2.496,2.605,0.384,0.588
9,7,964.500,1522.500,961,1522,7,1,0.434,7.071,961,1522,171.870,1.000,7.000,0.143,1.000
10,15,3509.633,1524.433,3506,1522,7,5,0.244,8.062,3506,1522,150.255,4.366,2.260,0.442,0.566
11,4,850.500,1524.250,849,1523,3,2,1.000,3.162,849,1524,161.565,2.000,1.468,0.681,0.800
12,7,2900.357,1525.071,2898,1523,5,4,0.543,6.403,2898,1527,38.660,2.121,3.778,0.265,0.636
13,4,3155.000,1525.000,3154,1524,2,2,1.000,2.828,3154,1524,135.000,2.000,1.000,1.000,1.000
14,4,3447.500,1526.000,3447,1524,1,4,0.645,4.123,3447,1524,104.036,1.000,4.000,0.250,1.000
15,4,3207.750,1528.500,3206,1527,3,3,0.457,3.606,3207,1527,123.690,2.683,1.517,0.659,0.571
16,9,3289.944,1527.944,3286,1527,7,2,0.377,7.280,3286,1529,15.945,2.000,3.680,0.272,0.692
17,5,3776.100,1528.300,3775,1527,2,3,1.000,3.606,3775,1527,123.690,2.000,1.553,0.644,0.909
18,4,4276.500,1530.250,4275,1529,3,2,1.000,3.162,4275,1530,161.565,2.000,1.468,0.681,0.800
19,6,4890.000,1531.167,4888,1529,3,5,0.441,5.831,4888,1529,120.964,2.683,2.892,0.346,0.571
20,7,4480.786,1531.214,4479,1530,4,3,0.898,5.000,4479,1533,36.870,2.683,2.211,0.452,0.778
21,5,4853.100,1534.100,4852,1533,3,3,0.764,4.243,4852,1536,45.000,2.828,1.727,0.579,0.714
22,5,5047.900,1535.100,5046,1533,4,4,0.491,5.657,5046,1533,135.000,2.121,3.571,0.280,0.588
23,4,5043.000,1536.000,5041,1535,4,2,0.513,4.123,5041,1535,165.964,2.000,2.000,0.500,0.571
24,4,5518.000,1537.000,5517,1536,2,2,1.000,2.828,5517,1536,135.000,2.000,1.000,1.000,1.000
25,4,5582.500,1539.000,5581,1538,3,2,1.000,3.606,5581,1540,33.690,2.000,2.031,0.492,0.800
26,4,6093.000,1542.000,6092,1541,2,2,1.000,2.828,6092,1541,135.000,2.000,1.000,1.000,1.000
27,4,6269.000,1542.500,6267,1541,4,3,0.393,4.472,6267,1542,153.435,2.530,2.179,0.459,0.500
28,4,6216.000,1543.500,6214,1543,4,1,0.740,4.123,6214,1543,165.964,1.000,4.000,0.250,1.000
29,5,6222.900,1546.100,6221,1545,4,2,0.641,4.123,6221,1546,165.964,2.000,1.871,0.534,0.714
30,4,4252.500,1584.250,4251,1583,3,2,1.000,3.162,4251,1584,161.565,2.000,1.468,0.681,0.800
31,12,4160.500,1586.000,4159,1584,3,4,1.000,5.000,4159,1584,126.870,3.000,1.333,0.750,1.000
32,47,2967.840,1600.968,2964,1597,8,8,0.848,9.220,2964,1598,139.399,8.000,1.044,0.958,0.862
33,112,6345.268,1634.795,6338,1628,15,13,0.505,18.028,6338,1629,146.310,11.088,1.675,0.597,0.780
34,14,3328.929,1634.214,3326,1632,6,4,0.750,6.708,3326,1632,153.435,3.638,2.013,0.497,0.778
35,42,3065.714,1638.143,3061,1635,9,6,1.000,9.487,3061,1637,161.565,6.000,1.439,0.695,0.903
36,1148,6209.890,1667.697,6189,1647,41,39,0.701,41.881,6195,1682,56.689,37.569,1.110,0.901,0.927
37,4,2740.500,1664.000,2739,1663,3,2,1.000,3.606,2739,1665,33.690,2.000,2.031,0.492,0.800
38,4,4392.000,1672.250,4391,1671,2,3,0.698,3.606,4391,1674,56.310,2.000,1.637,0.611,0.727
39,7,5883.643,1736.071,5882,1734,3,4,0.800,5.000,5882,1734,126.870,2.530,2.408,0.415,0.737
40,4,5881.000,1738.000,5880,1737,2,2,1.000,2.828,5880,1737,135.000,2.000,1.000,1.000,1.000
41,75,5906.887,1751.887,5901,1746,11,10,0.854,12.806,5901,1755,38.660,9.192,1.339,0.747,0.888
42,6,4441.667,1818.667,4440,1817,3,3,1.000,3.606,4441,1817,123.690,2.828,1.291,0.775,0.800
43,4,1415.500,1956.750,1414,1956,3,2,1.000,3.162,1414,1956,161.565,2.000,1.468,0.681,0.800
44,11,4004.227,2004.500,4002,2002,4,5,0.780,5.831,4003,2007,59.036,3.536,1.877,0.533,0.759
45,43,4341.360,2085.267,4337,2081,8,8,0.954,8.944,4337,2087,26.565,7.766,1.107,0.903,0.851
46,18,1635.889,2116.778,1632,2115,8,4,0.544,8.246,1632,2115,165.964,4.000,2.147,0.466,0.679
47,16,1846.000,2128.000,1844,2125,4,6,0.857,6.325,1845,2125,108.435,4.000,1.519,0.658,0.842
48,60,6109.717,2143.067,6105,2139,10,9,0.883,10.440,6105,2145,16.699,8.944,1.159,0.863,0.863
49,42,2153.976,2187.643,2149,2184,10,7,0.778,10.198,2149,2186,168.690,7.000,1.372,0.729,0.808
50,26,1676.923,2188.154,1673,2185,7,6,0.619,8.062,1673,2189,29.745,5.814,1.515,0.660,0.765
51,9,1136.833,2195.056,1135,2193,4,4,0.638,5.657,1135,2193,135.000,3.536,2.074,0.482,0.692
52,5,657.900,2198.900,656,2197,3,3,0.674,4.243,656,2200,45.000,2.828,1.727,0.579,0.714
53,37,752.149,2217.797,746,2215,12,6,0.396,12.166,746,2215,170.538,6.000,2.182,0.458,0.661
54,115,771.248,2224.143,763,2217,19,14,0.364,19.925,763,2229,17.526,13.426,1.657,0.603,0.653
55,16,5166.438,2248.188,5164,2246,5,4,1.000,5.831,5164,2250,30.964,4.000,1.392,0.718,0.889
